Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Reconstruction and semi-transparent display method for observing inner structure of an object consisting of multiple surfaces","The Visual Computer","","3","3","10.1007/BF01962894","Kazufumi KanedaKoichi HaradaEihachiro NakamaeMineo YasudaAkinao G. Sato","1987","http://link.springer.com/article/10.1007/BF01962894","Article"
"Semantic space","Computers and translation","","2","4","10.1007/BF01682182","Walter A. Sedelow Jr.Sally Yeates Sedelow","1987","http://link.springer.com/article/10.1007/BF01682182","Article"
"Hierarchical deduction","Journal of Automated Reasoning","","3","1","10.1007/BF00381144","Tie-Cheng WangW. W. Bledsoe","1987","http://link.springer.com/article/10.1007/BF00381144","Article"
"On simulation methods for solving the Boltamann equation","Computing","","38","2","10.1007/BF02240176","Dr. H. Ploss","1987","http://link.springer.com/article/10.1007/BF02240176","Article"
"A Review of the Fourth International Workshop on Machine Learning","Machine Learning","","2","2","10.1023/A:1022804725118","Rogers P. HallBrian FalkenhainerNicholas FlannSteve HampsonRobert ReinkeJeff ShragerMichael H. SimsPrasad Tadepalli","1987","http://link.springer.com/article/10.1023/A%3A1022804725118","Article"
"Computational experiments with algorithms for stiff ODEs","Computing","","38","2","10.1007/BF02240180","P. Seifert","1987","http://link.springer.com/article/10.1007/BF02240180","Article"
"Machine learning, 1986, volume I","Machine Learning","","2","1","10.1007/BF00058756","","1987","http://link.springer.com/article/10.1007/BF00058756","Article"
"A user perspective on computer-assisted translation for minority languages","Computers and translation","","2","2 - 3","10.1007/BF02274444","Janet Barnes","1987","http://link.springer.com/article/10.1007/BF02274444","Article"
"Interpolants for Runge-Kutta-Nyström methods","Computing","","39","1","10.1007/BF02307711","J. M. Fine","1987","http://link.springer.com/article/10.1007/BF02307711","Article"
"Bernoulli functions and periodic B-splines","Computing","","38","1","10.1007/BF02253741","apl. Prof. Dr. F. -J. Delvos","1987","http://link.springer.com/article/10.1007/BF02253741","Article"
"Human centred systems: An urgent problem for systems designers","AI & SOCIETY","","1","1","10.1007/BF01905888","Mike Cooley","1987","http://link.springer.com/article/10.1007/BF01905888","Article"
"AI and accountability","AI & SOCIETY","","1","1","10.1007/BF01905892","Ajit Narayanan","1987","http://link.springer.com/article/10.1007/BF01905892","Article"
"The problem of choosing the inference rule to employ","Journal of Automated Reasoning","","3","2","10.1007/BF00243208","Larry Wos","1987","http://link.springer.com/article/10.1007/BF00243208","Article"
"As the generations pass...","Computers and translation","","2","1","10.1007/BF01540136","W. P. L.","1987","http://link.springer.com/article/10.1007/BF01540136","Article"
"B2-splines: a local representation for cubic spline interpolation","The Visual Computer","","3","3","10.1007/BF01962896","Charles D. Woodward","1987","http://link.springer.com/article/10.1007/BF01962896","Article"
"The engineering of a Translator Workstation","Computers and translation","","2","4","10.1007/BF01682184","Loong-Cheong Tong","1987","http://link.springer.com/article/10.1007/BF01682184","Article"
"Experiments with incremental concept formation: UNIMEM","Machine Learning","","2","2","10.1007/BF00114264","Michael Lebowitz","1987","http://link.springer.com/article/10.1007/BF00114264","Article"
"Some obstacles to the automation of reasoning, and the problem of redundant information","Journal of Automated Reasoning","","3","1","10.1007/BF00381146","Larry Wos","1987","http://link.springer.com/article/10.1007/BF00381146","Article"
"Quasi-Newton methods with factorization scaling for solving sparse nonlinear systems of equations","Computing","","38","2","10.1007/BF02240178","J. M. Martínez","1987","http://link.springer.com/article/10.1007/BF02240178","Article"
"Design of array processor systems","Journal of Computer Science and Technology","","2","3","10.1007/BF02973502","Peisu XiaXinwo FangYuxiang WangKaiming YanTingjun ZhangYulan LiuChunying ZhaoJizhong Sun","1987","http://link.springer.com/article/10.1007/BF02973502","Article"
"Computing hysteresis points of nonlinear equations depending on two parameters","Computing","","39","1","10.1007/BF02307709","Dr. G. Pönisch","1987","http://link.springer.com/article/10.1007/BF02307709","Article"
"Textbase and translation: The repertorium columbianum","Computers and translation","","2","2 - 3","10.1007/BF02274446","Theodore Cachey Jr. doctorate in Italian from UCLAMark Olsen doctoral candidate","1987","http://link.springer.com/article/10.1007/BF02274446","Article"
"The generalized eigenvalue problem and acoustic surface wave computations","Computing","","39","1","10.1007/BF02307713","Dr. R. Wobst","1987","http://link.springer.com/article/10.1007/BF02307713","Article"
"As the generations pass...","Computers and translation","","2","2 - 3","10.1007/BF02274450","W. P. L.","1987","http://link.springer.com/article/10.1007/BF02274450","Article"
"Reconstruction of polycrystalline structures: a new application of combinatorial optimization","Computing","","38","1","10.1007/BF02253739","H. TelleyTh. M. LieblingA. Mocellin","1987","http://link.springer.com/article/10.1007/BF02253739","Article"
"Three methods for refining estimates of invariant subspaces","Computing","","38","1","10.1007/BF02253743","J. W. Demmel","1987","http://link.springer.com/article/10.1007/BF02253743","Article"
"Review section","AI & SOCIETY","","1","1","10.1007/BF01905894","Janet VauxRobert Dale","1987","http://link.springer.com/article/10.1007/BF01905894","Article"
"Computer art forum","The Visual Computer","","3","3","10.1007/BF01962898","Nadia Magnerat-Thalmann","1987","http://link.springer.com/article/10.1007/BF01962898","Article"
"People places things","The Visual Computer","","3","1","10.1007/BF02153645","Nancy H. McDonald Ph.D.","1987","http://link.springer.com/article/10.1007/BF02153645","Article"
"Multi-Lingual Scholar, Version 3.0","Computers and translation","","2","4","10.1007/BF01682186","David K. Murphy","1987","http://link.springer.com/article/10.1007/BF01682186","Article"
"Unification in Abelian semigroups","Journal of Automated Reasoning","","3","3","10.1007/BF00243791","Alexander HeroldJörg H. Siekmann","1987","http://link.springer.com/article/10.1007/BF00243791","Article"
"A review of the fourth International Workshop on Machine Learning","Machine Learning","","2","2","10.1007/BF00114266","Rogers P. HallBrian FalkenhainerNicholas FlannSteve HampsonRobert ReinkeJeff ShragerMichael H. SimsPrasad Tadepalli","1987","http://link.springer.com/article/10.1007/BF00114266","Article"
"Editorial","International Journal of Computer Vision","","1","1","10.1007/BF00128524","","1987","http://link.springer.com/article/10.1007/BF00128524","Article"
"Change of address","Journal of Automated Reasoning","","3","1","10.1007/BF00381148","","1987","http://link.springer.com/article/10.1007/BF00381148","Article"
"Termination preserving problem in the transformation of applicative programs","Journal of Computer Science and Technology","","2","3","10.1007/BF02973504","Yongqiang SunRuzhan LuXiaorong Huang","1987","http://link.springer.com/article/10.1007/BF02973504","Article"
"On the complexity of induction of structural descriptions","Journal of Computer Science and Technology","","2","1","10.1007/BF02943313","Xuemiao Lu","1987","http://link.springer.com/article/10.1007/BF02943313","Article"
"Call for “People places things”","The Visual Computer","","3","4","10.1007/BF01952824","","1987","http://link.springer.com/article/10.1007/BF01952824","Article"
"How to clear a block: A theory of plans","Journal of Automated Reasoning","","3","4","10.1007/BF00247434","Zohar MannaRichard Waldinger","1987","http://link.springer.com/article/10.1007/BF00247434","Article"
"The analysis lexicon and the lexicon management system","Computers and translation","","2","2 - 3","10.1007/BF02274448","Sergei NirenburgVictor Raskin","1987","http://link.springer.com/article/10.1007/BF02274448","Article"
