Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Accelerating Krawczyk-like interval algorithms for the solution of nonlinear systems of equations by using second derivatives","Computing","","35","3 - 4","10.1007/BF02240200","Dr. H. Schwandt","1985","http://link.springer.com/article/10.1007/BF02240200","Article"
"Aspects of insertion in random trees","Computing","","29","1","10.1007/BF02254848","A. BagchiE. M. Reingold","1982","http://link.springer.com/article/10.1007/BF02254848","Article"
"On the R-order of coupled sequences II","Computing","","29","1","10.1007/BF02254852","W. BurmeisterJ. W. Schmidt","1982","http://link.springer.com/article/10.1007/BF02254852","Article"
"A note on Newton type iterative methods","Computing","","33","1","10.1007/BF02243076","Dr. I. Moret","1984","http://link.springer.com/article/10.1007/BF02243076","Article"
"Ein Durchbruch zur „Semantisierung” relationaler Datenmodelle? Das Datenmodell der Sprache LEGOL-2","Computing","","27","1","10.1007/BF02243434","Wiss. Ass. Dr. L. H. Fohmann","1981","http://link.springer.com/article/10.1007/BF02243434","Article"
"Exact algorithms for polynomial real root approximation using continued fractions","Computing","","30","1","10.1007/BF02253296","A. G. AkritasH. Ng King","1983","http://link.springer.com/article/10.1007/BF02253296","Article"
"Elimination of redundant operations in relational queries with general selection operators","Computing","","34","4","10.1007/BF02251832","Mila E. Majster-Cederbaum","1985","http://link.springer.com/article/10.1007/BF02251832","Article"
"Computation of nodes and weights of extended Gaussian rules","Computing","","32","3","10.1007/BF02243577","Prof. Dr. Catterina DagninoDr. Cinzia Fiorentino","1984","http://link.springer.com/article/10.1007/BF02243577","Article"
"Editorial: A journal is born","Journal of Automated Reasoning","","1","1","10.1007/BF00244287","Larry Wos","1985","http://link.springer.com/article/10.1007/BF00244287","Article"
"Non-horn problems","Journal of Automated Reasoning","","1","1","10.1007/BF00244291","Ewing LuskRoss Overbeek","1985","http://link.springer.com/article/10.1007/BF00244291","Article"
"Remarks on composite integration methods for ordinary differential equations","Computing","","31","1","10.1007/BF02247937","Prof. Dr. R. AnsorgeProf. Dr. K. Taubert","1983","http://link.springer.com/article/10.1007/BF02247937","Article"
"An intervalal gorithm for solving systems of linear equations to prespecified accuracy","Computing","","34","2","10.1007/BF02259840","J. W. DemmelProf. F. Krückeberg","1985","http://link.springer.com/article/10.1007/BF02259840","Article"
"Behandlung steifer Anfangswertprobleme gewöhnlicher Differentialgleichungen mit adaptiven Runge-Kutta-Methoden","Computing","","29","2","10.1007/BF02249938","K. StrehmelR. Weiner","1982","http://link.springer.com/article/10.1007/BF02249938","Article"
"On the approximate computation of certain strongly singular integrals","Computing","","35","3 - 4","10.1007/BF02240199","P. Linz","1985","http://link.springer.com/article/10.1007/BF02240199","Article"
"Architecture of a Reduction-Based Parallel Inference Machine: PIM-R","New Generation Computing","","3","2","10.1007/BF03037069","Rikio OnaiMoritoshi AsoHajime ShimizuKanae MasudaAkira Matsumoto","1985","http://link.springer.com/article/10.1007/BF03037069","Article"
"URR: Universal representation of real numbers","New Generation Computing","","1","2","10.1007/BF03037427","Hozumi Hamada","1983","http://link.springer.com/article/10.1007/BF03037427","Article"
"Announcement","New Generation Computing","","3","2","10.1007/BF03037073","","1985","http://link.springer.com/article/10.1007/BF03037073","Article"
"A note on gamma variate generators with shape parameter less than unity","Computing","","30","2","10.1007/BF02280789","D. J. Best","1983","http://link.springer.com/article/10.1007/BF02280789","Article"
"A functional model for constructive solid geometry","The Visual Computer","","1","1","10.1007/BF01901265","Geoff WyvillTosiyasu L. Kunii","1985","http://link.springer.com/article/10.1007/BF01901265","Article"
"On the convergence of some quadrature rules for Cauchy principal-value and finite-part integrals","Computing","","31","2","10.1007/BF02259907","G. TsamasphyrosP. S. Theocaris","1983","http://link.springer.com/article/10.1007/BF02259907","Article"
"Conformal mapping of the unit circle or of the upper half plane onto a polygon","Computing","","31","2","10.1007/BF02259911","Dipl.-Ing. Dr. W. Prochazka","1983","http://link.springer.com/article/10.1007/BF02259911","Article"
"Thel

                p
              -solution of the linear matrix equationAX+YB=C","Computing","","32","2","10.1007/BF02253689","K. Ziętak","1984","http://link.springer.com/article/10.1007/BF02253689","Article"
"Guest editor’s preface","New Generation Computing","","2","4","10.1007/BF03037323","Ehud Shapiro","1984","http://link.springer.com/article/10.1007/BF03037323","Article"
"A quasi-Newton method with sparse triple factorization for unconstrained minimization","Computing","","33","3 - 4","10.1007/BF02242275","Dao-qi ChenR. P. Tewarson","1984","http://link.springer.com/article/10.1007/BF02242275","Article"
"Heuristic algorithms for the multiple knapsack problem","Computing","","27","2","10.1007/BF02243544","S. MartelloP. Toth","1981","http://link.springer.com/article/10.1007/BF02243544","Article"
"A remark on Frank matrices","Computing","","35","3 - 4","10.1007/BF02240202","J-Fr Hake","1985","http://link.springer.com/article/10.1007/BF02240202","Article"
"Rounding error analysis of interpolation procedures","Computing","","33","1","10.1007/BF02243078","Dipl.-Math. G. Brügner","1984","http://link.springer.com/article/10.1007/BF02243078","Article"
"On level sets and an approximation problem for the numerical solution of a free boundary problem","Computing","","27","1","10.1007/BF02243436","Dr. R. Reemtsen","1981","http://link.springer.com/article/10.1007/BF02243436","Article"
"Rosenbrock methods for Stiff ODEs: A comparison of Richardson extrapolation and embedding technique","Computing","","34","1","10.1007/BF02242171","P. KapsS. W. H. PoonT. D. Bui","1985","http://link.springer.com/article/10.1007/BF02242171","Article"
"On the numerical evaluation of derivatives of Cauchy principal value integrals","Computing","","27","1","10.1007/BF02243440","Prof. Dr. N. I. Ioakimidis","1981","http://link.springer.com/article/10.1007/BF02243440","Article"
"Probabilistic error analysis of gaussian elimination in floating point and logarithmic arithmetic","Computing","","34","4","10.1007/BF02251834","J. L. BarlowE. H. Bareiss","1985","http://link.springer.com/article/10.1007/BF02251834","Article"
"Fiducial intervals for the waiting time in batch and time-sharing systems","Computing","","28","4","10.1007/BF02279813","Dr. A. Leitsch","1982","http://link.springer.com/article/10.1007/BF02279813","Article"
"ROGET: A knowledge-based system for acquiring the conceptual structure of a diagnostic expert system","Journal of Automated Reasoning","","1","1","10.1007/BF00244289","James S. Bennett","1985","http://link.springer.com/article/10.1007/BF00244289","Article"
"Automatically determining symmetries of partial differential equations","Computing","","34","2","10.1007/BF02259838","F. Schwarz","1985","http://link.springer.com/article/10.1007/BF02259838","Article"
"Asynchronous algorithms for poisson's equation with nonlinear boundary conditions","Computing","","34","2","10.1007/BF02259842","M. N. AnwarM. N. El Tarazi","1985","http://link.springer.com/article/10.1007/BF02259842","Article"
"Guest editors’ preface","New Generation Computing","","3","4","10.1007/BF03037075","Fumio MizoguchiKoichi Furukawa","1985","http://link.springer.com/article/10.1007/BF03037075","Article"
"Time-slot assignment for TDMA-systems","Computing","","35","2","10.1007/BF02260498","R. E. Burkard","1985","http://link.springer.com/article/10.1007/BF02260498","Article"
"A viewing pipeline for discrete solid modeling","The Visual Computer","","1","1","10.1007/BF01901267","Klaus KronlofMarkku Tamminen","1985","http://link.springer.com/article/10.1007/BF01901267","Article"
"A comparison of two Petri net types","Computing","","31","2","10.1007/BF02259909","Dipl.-Inf. P. BatheltProf. Dr. F. Hofmann","1983","http://link.springer.com/article/10.1007/BF02259909","Article"
"An implicit off-step point method for the integration of stiff differential equations","Computing","","31","2","10.1007/BF02259913","M. Lautsch","1983","http://link.springer.com/article/10.1007/BF02259913","Article"
"Towards a pipelined Prolog processor","New Generation Computing","","2","4","10.1007/BF03037325","Evan TickDavid H. D. Warren","1984","http://link.springer.com/article/10.1007/BF03037325","Article"
"A note on the ART of relaxation","Computing","","33","3 - 4","10.1007/BF02242277","M. R. Trummer","1984","http://link.springer.com/article/10.1007/BF02242277","Article"
"Converging multistep methods for initial value problems involving multivalued maps","Computing","","27","2","10.1007/BF02243546","Dr. K. Taubert","1981","http://link.springer.com/article/10.1007/BF02243546","Article"
"On the solvability of ordinary differential equations with only partially continuous right-hand-side by difference methods","Computing","","27","2","10.1007/BF02243550","Dr. M. Struwe","1981","http://link.springer.com/article/10.1007/BF02243550","Article"
"Accurate arithmetic results for decimal data on non-decimal computers","Computing","","35","2","10.1007/BF02260501","Dr. W. AuzingerProf. Dr. H. J. Stetter","1985","http://link.springer.com/article/10.1007/BF02260501","Article"
"Einige Ausnahmen zur Rosserschen Regel in der Theorie der Riemannschen Zetafunktion","Computing","","27","1","10.1007/BF02243438","E. KarkoschkaProf. Dr. P. Werner","1981","http://link.springer.com/article/10.1007/BF02243438","Article"
"On solving nonlinear least-squares problems in case of rankdeficient Jacobians","Computing","","34","1","10.1007/BF02242173","Dr. R. Menzel","1985","http://link.springer.com/article/10.1007/BF02242173","Article"
"Some techniques for solving linear equation systems with guarantee","Computing","","34","4","10.1007/BF02251836","W. HahnK. MohrU. Schauer","1985","http://link.springer.com/article/10.1007/BF02251836","Article"
"Theory and performance of a subroutine for solving Volterra Integral Equations","Computing","","28","4","10.1007/BF02279815","Prof J. M. Bownds","1982","http://link.springer.com/article/10.1007/BF02279815","Article"
"Some models of error in floating point multiplication","Computing","","27","3","10.1007/BF02237980","Dr. R. Goodman","1981","http://link.springer.com/article/10.1007/BF02237980","Article"
"A step towards complementary programming","New Generation Computing","","3","1","10.1007/BF03037113","Takayasu Ito","1985","http://link.springer.com/article/10.1007/BF03037113","Article"
"Local error estimation by doubling","Computing","","34","2","10.1007/BF02259844","L. F. Shampine","1985","http://link.springer.com/article/10.1007/BF02259844","Article"
"Meta-level programming and knowledge representation","New Generation Computing","","3","4","10.1007/BF03037077","Kenneth A. Bowen","1985","http://link.springer.com/article/10.1007/BF03037077","Article"
"Chemical ideograms and molecular computer graphics","The Visual Computer","","1","1","10.1007/BF01901269","J. E. DuboisD. LaurentJ. Weber","1985","http://link.springer.com/article/10.1007/BF01901269","Article"
"Ten requirements for a theory of change","New Generation Computing","","3","4","10.1007/BF03037081","Yoav Shoham","1985","http://link.springer.com/article/10.1007/BF03037081","Article"
"Reconstructing pictures from projections: On the convergence of the ART algorithm with relaxation","Computing","","26","3","10.1007/BF02243477","M. R. Trummer","1981","http://link.springer.com/article/10.1007/BF02243477","Article"
"Optimal segmented polynomial L
                s
              -approximations","Computing","","26","3","10.1007/BF02243481","Dr. J. B. Kioustelidis","1981","http://link.springer.com/article/10.1007/BF02243481","Article"
"Rounding error analysis of Horner's scheme","Computing","","30","4","10.1007/BF02242136","Prof. Dr. K. H. Müller","1983","http://link.springer.com/article/10.1007/BF02242136","Article"
"An improved transitive closure algorithm","Computing","","30","4","10.1007/BF02242140","Dr. L. Schmitz","1983","http://link.springer.com/article/10.1007/BF02242140","Article"
"Algorithms for brush movement","The Visual Computer","","1","4","10.1007/BF02021811","Kenneth P. FishkinBrian A. Barsky","1985","http://link.springer.com/article/10.1007/BF02021811","Article"
"Efficient Prolog memory management for flexible control strategies","New Generation Computing","","2","4","10.1007/BF03037327","David Scott Warren","1984","http://link.springer.com/article/10.1007/BF03037327","Article"
"On the definiteness of quadrature formulae of Clenshaw-Curtis type","Computing","","33","3 - 4","10.1007/BF02242279","Dr. G. AkrivisDr. K. -J. Förster","1984","http://link.springer.com/article/10.1007/BF02242279","Article"
"Some remarks on the discrete maximum-principle for finite elements of higher order","Computing","","27","2","10.1007/BF02243548","W. HöhnH. D. Mittelmann","1981","http://link.springer.com/article/10.1007/BF02243548","Article"
"Algorithm for the solution of the Bottleneck Assignment Problem","Computing","","27","2","10.1007/BF02243552","G. CarpanetoP. Toth","1981","http://link.springer.com/article/10.1007/BF02243552","Article"
"On higher order centered forms","Computing","","35","2","10.1007/BF02260503","G. AlefeldR. Lohner","1985","http://link.springer.com/article/10.1007/BF02260503","Article"
"Varying relaxation parameters in nonlinear successive overrelaxation","Computing","","34","1","10.1007/BF02242175","M. E. BrewsterR. Kannan","1985","http://link.springer.com/article/10.1007/BF02242175","Article"
"On global convergence of coordinate relaxation in the case of an unsymmetrical, diagonally dominant Jacobian","Computing","","28","4","10.1007/BF02279817","Dr. M. Gipser","1982","http://link.springer.com/article/10.1007/BF02279817","Article"
"The complexity of basic complex operations","Computing","","27","3","10.1007/BF02237978","Dr. H. AltProf. Dr. J. van Leeuwen","1981","http://link.springer.com/article/10.1007/BF02237978","Article"
"Computational experience with an algorithm for discrete L1 approximation","Computing","","27","3","10.1007/BF02237982","Mr. S. BaboolalDr. G. A. Watson","1981","http://link.springer.com/article/10.1007/BF02237982","Article"
"AND parallelism and nondeterminism in logic programs","New Generation Computing","","3","1","10.1007/BF03037115","John S. ConeryDennis F. Kibler","1985","http://link.springer.com/article/10.1007/BF03037115","Article"
"Multi-layer logic — A predicate logic including data structure as knowledge representation language","New Generation Computing","","3","4","10.1007/BF03037079","Setsuo OhsugaHiroyuki Yamauchi","1985","http://link.springer.com/article/10.1007/BF03037079","Article"
"“Introduction to logic programming” by Christopher J. Hogger","New Generation Computing","","3","4","10.1007/BF03037083","Katsuhiko Nakamura","1985","http://link.springer.com/article/10.1007/BF03037083","Article"
