Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Studies in Comparative International Development","Studies in Comparative International Development","","1 / 1965 - 57 / 2022","","","","","http://link.springer.com/journal/12116","Journal"
"International Journal of Anthropology","International Journal of Anthropology","","1 / 1986 - 21 / 2006","","","","","http://link.springer.com/journal/11599","Journal"
"Zorg + Welzijn","Zorg + Welzijn","","22 / 2016 - 28 / 2022","","","","","http://link.springer.com/journal/41185","Journal"
"African Archaeological Review","African Archaeological Review","","1 / 1983 - 39 / 2022","","","","","http://link.springer.com/journal/10437","Journal"
"Journal of Well-Being Assessment","Journal of Well-Being Assessment","","1 / 2017 - 4 / 2020","","","","","http://link.springer.com/journal/41543","Journal"
"Journal of Family and Economic Issues","Journal of Family and Economic Issues","","1 / 1978 - 43 / 2022","","","","","http://link.springer.com/journal/10834","Journal"
"Race and Social Problems","Race and Social Problems","","1 / 2009 - 14 / 2022","","","","","http://link.springer.com/journal/12552","Journal"
"Journal of Labor Research","Journal of Labor Research","","1 / 1980 - 43 / 2022","","","","","http://link.springer.com/journal/12122","Journal"
"Review of Religious Research","Review of Religious Research","","53 / 2012 - 64 / 2022","","","","","http://link.springer.com/journal/13644","Journal"
"International Communication of Chinese Culture","International Communication of Chinese Culture","","1 / 2014 - 9 / 2022","","","","","http://link.springer.com/journal/40636","Journal"
"Dialectical Anthropology","Dialectical Anthropology","","1 / 1975 - 46 / 2022","","","","","http://link.springer.com/journal/10624","Journal"
"Crime Prevention and Community Safety","Crime Prevention and Community Safety","","1 / 1999 - 24 / 2022","","","","","http://link.springer.com/journal/41300","Journal"
"International Journal of Politics, Culture, and Society","International Journal of Politics, Culture, and Society","","1 / 1988 - 35 / 2022","","","","","http://link.springer.com/journal/10767","Journal"
"The Journal of Chinese Sociology","The Journal of Chinese Sociology","","1 / 2014 - 9 / 2022","","","","","http://link.springer.com/journal/40711","Journal"
"Adaptive Human Behavior and Physiology","Adaptive Human Behavior and Physiology","","1 / 2015 - 8 / 2022","","","","","http://link.springer.com/journal/40750","Journal"
"Ageing International","Ageing International","","1 / 1974 - 47 / 2022","","","","","http://link.springer.com/journal/12126","Journal"
"Population and Environment","Population and Environment","","1 / 1978 - 44 / 2022","","","","","http://link.springer.com/journal/11111","Journal"
"Zeitschrift für Bevölkerungswissenschaft","Zeitschrift für Bevölkerungswissenschaft","","33 / 2008 - 34 / 2009","","","","","http://link.springer.com/journal/12523","Journal"
"Asian Journal of German and European Studies","Asian Journal of German and European Studies","","1 / 2016 - 5 / 2020","","","","","http://link.springer.com/journal/40856","Journal"
"Applied Spatial Analysis and Policy","Applied Spatial Analysis and Policy","","1 / 2008 - 15 / 2022","","","","","http://link.springer.com/journal/12061","Journal"
"Journal of Computational Social Science","Journal of Computational Social Science","","1 / 2018 - 5 / 2022","","","","","http://link.springer.com/journal/42001","Journal"
"SEARCH: The Journal of the South East Asia Research Centre for Communication and Humanities","SEARCH: The Journal of the South East Asia Research Centre for Communication and Humanities","","6 / 2014 - 7 / 2015","","","","","http://link.springer.com/journal/40931","Journal"
"Urban Forum","Urban Forum","","1 / 1990 - 33 / 2022","","","","","http://link.springer.com/journal/12132","Journal"
"Population Research and Policy Review","Population Research and Policy Review","","1 / 1982 - 41 / 2022","","","","","http://link.springer.com/journal/11113","Journal"
"Österreichische Zeitschrift für Soziologie","Österreichische Zeitschrift für Soziologie","","26 / 2001 - 47 / 2022","","","","","http://link.springer.com/journal/11614","Journal"
"Leviathan","Leviathan","","28 / 2000 - 39 / 2011","","","","","http://link.springer.com/journal/11578","Journal"
"Asia Europe Journal","Asia Europe Journal","","1 / 2003 - 20 / 2022","","","","","http://link.springer.com/journal/10308","Journal"
"Journal of International Migration and Integration","Journal of International Migration and Integration","","1 / 2000 - 23 / 2022","","","","","http://link.springer.com/journal/12134","Journal"
"Publizistik","Publizistik","","45 / 2000 - 67 / 2022","","","","","http://link.springer.com/journal/11616","Journal"
"International Journal of Sexuality and Gender Studies","International Journal of Sexuality and Gender Studies","","1 / 1996 - 7 / 2002","","","","","http://link.springer.com/journal/10848","Journal"
"Archaeologies","Archaeologies","","1 / 2005 - 18 / 2022","","","","","http://link.springer.com/journal/11759","Journal"
"Global Social Welfare","Global Social Welfare","","1 / 2014 - 9 / 2022","","","","","http://link.springer.com/journal/40609","Journal"
"Revue de Synthèse","Revue de Synthèse","","67 / 1950 - 137 / 2016","","","","","http://link.springer.com/journal/11873","Journal"
"Culture, Medicine, and Psychiatry","Culture, Medicine, and Psychiatry","","1 / 1977 - 46 / 2022","","","","","http://link.springer.com/journal/11013","Journal"
"Journal of Consumer Policy","Journal of Consumer Policy","","1 / 1977 - 45 / 2022","","","","","http://link.springer.com/journal/10603","Journal"
"Applied Research in Quality of Life","Applied Research in Quality of Life","","1 / 2006 - 17 / 2022","","","","","http://link.springer.com/journal/11482","Journal"
"Discover Social Science and Health","Discover Social Science and Health","","1 / 2021 - 2 / 2022","","","","","http://link.springer.com/journal/44155","Journal"
"Spatial Demography","Spatial Demography","","1 / 2013 - 10 / 2022","","","","","http://link.springer.com/journal/40980","Journal"
"Historical Archaeology","Historical Archaeology","","1 / 1967 - 56 / 2022","","","","","http://link.springer.com/journal/41636","Journal"
"VOLUNTAS: International Journal of Voluntary and Nonprofit Organizations","VOLUNTAS: International Journal of Voluntary and Nonprofit Organizations","","1 / 1990 - 33 / 2022","","","","","http://link.springer.com/journal/11266","Journal"
"Human Relations","Human Relations","","50 / 1997 - 52 / 1999","","","","","http://link.springer.com/journal/10748","Journal"
"International Journal of Latin American Religions","International Journal of Latin American Religions","","1 / 2017 - 6 / 2022","","","","","http://link.springer.com/journal/41603","Journal"
"Nonlinear Dynamics, Psychology, and Life Sciences","Nonlinear Dynamics, Psychology, and Life Sciences","","1 / 1997 - 7 / 2003","","","","","http://link.springer.com/journal/11054","Journal"
"Journal of Cross-Cultural Gerontology","Journal of Cross-Cultural Gerontology","","1 / 1986 - 37 / 2022","","","","","http://link.springer.com/journal/10823","Journal"
"Asian Journal of Gambling Issues and Public Health","Asian Journal of Gambling Issues and Public Health","","1 / 2010 - 7 / 2017","","","","","http://link.springer.com/journal/40405","Journal"
"Security Journal","Security Journal","","12 / 1999 - 35 / 2022","","","","","http://link.springer.com/journal/41284","Journal"
"Journal of African American Studies","Journal of African American Studies","","1 / 1996 - 26 / 2022","","","","","http://link.springer.com/journal/12111","Journal"
"Les cahiers de l'année gérontologique","Les cahiers de l'année gérontologique","","1 / 2009 - 7 / 2015","","","","","http://link.springer.com/journal/12612","Journal"
"Contemporary Jewry","Contemporary Jewry","","1 / 1974 - 42 / 2022","","","","","http://link.springer.com/journal/12397","Journal"
"Korean Social Science Journal","Korean Social Science Journal","","40 / 2013 - 43 / 2016","","","","","http://link.springer.com/journal/40483","Journal"
"Subjectivity","Subjectivity","","3 / 2010 - 29 / 2009","","","","","http://link.springer.com/journal/41286","Journal"
"American Journal of Cultural Sociology","American Journal of Cultural Sociology","","1 / 2013 - 10 / 2022","","","","","http://link.springer.com/journal/41290","Journal"
"Publishing Research Quarterly","Publishing Research Quarterly","","1 / 1985 - 38 / 2022","","","","","http://link.springer.com/journal/12109","Journal"
"International Journal of Group Tensions","International Journal of Group Tensions","","27 / 1997 - 31 / 2002","","","","","http://link.springer.com/journal/10760","Journal"
"Qualitative Sociology","Qualitative Sociology","","1 / 1978 - 45 / 2022","","","","","http://link.springer.com/journal/11133","Journal"
"BioSocieties","BioSocieties","","1 / 2006 - 17 / 2022","","","","","http://link.springer.com/journal/41292","Journal"
"Child Indicators Research","Child Indicators Research","","1 / 2008 - 15 / 2022","","","","","http://link.springer.com/journal/12187","Journal"
"Journal of Happiness Studies","Journal of Happiness Studies","","1 / 2000 - 23 / 2022","","","","","http://link.springer.com/journal/10902","Journal"
"Society","Society","","1 / 1963 - 59 / 2022","","","","","http://link.springer.com/journal/12115","Journal"
