Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"A language called “Algebra”","Applicable Algebra in Engineering, Communication and Computing","","1","1","10.1007/BF01810843","Thomas BethJacques Calmet","1990","http://link.springer.com/article/10.1007/BF01810843","Article"
"Systolic computation of interpolating polynomials","Computing","","45","2","10.1007/BF02247877","P. R. CappelloE. GallopoulosÇ. K. Koç","1990","http://link.springer.com/article/10.1007/BF02247877","Article"
"A special extended system and a Newton-like method for simple singular nonlinear equations","Computing","","45","2","10.1007/BF02247881","Z. Mei","1990","http://link.springer.com/article/10.1007/BF02247881","Article"
"Efficient methods for enclosing solutions of systems of nonlinear equations","Computing","","44","3","10.1007/BF02262218","A. FrommerG. Mayer","1990","http://link.springer.com/article/10.1007/BF02262218","Article"
"On the approximation of the range of values by interval expressions","Computing","","44","3","10.1007/BF02262222","G. Alefeld","1990","http://link.springer.com/article/10.1007/BF02262222","Article"
"Empirical Learning as a Function of Concept Character","Machine Learning","","5","3","10.1023/A:1022651406695","Larry RendellHoward Cho","1990","http://link.springer.com/article/10.1023/A%3A1022651406695","Article"
"Solving propositional satisfiability problems","Annals of Mathematics and Artificial Intelligence","","1","1 - 4","10.1007/BF01531077","Robert G. JeroslowJinchang Wang","1990","http://link.springer.com/article/10.1007/BF01531077","Article"
"Modal logic for default reasoning","Annals of Mathematics and Artificial Intelligence","","1","1 - 4","10.1007/BF01531081","W. MarekM. Truszczyński","1990","http://link.springer.com/article/10.1007/BF01531081","Article"
"Yet another application of a binomial recurrence order statistics","Computing","","43","4","10.1007/BF02241658","W. SzpankowskiV. Rego","1990","http://link.springer.com/article/10.1007/BF02241658","Article"
"Dexter: A guide to selecting the best design for an industrial screening experiment","Annals of Mathematics and Artificial Intelligence","","2","1 - 4","10.1007/BF01531005","Perry D. HaalandJohn C. LusthRoger F. LiddleJoan W. Curry","1990","http://link.springer.com/article/10.1007/BF01531005","Article"
"The automation of syllogistic","Journal of Automated Reasoning","","6","2","10.1007/BF00245817","D. CantoneE. G. OmodeoA. Policriti","1990","http://link.springer.com/article/10.1007/BF00245817","Article"
"Announcement","Machine Translation","","5","2","10.1007/BF00393761","","1990","http://link.springer.com/article/10.1007/BF00393761","Article"
"Editorial","The Visual Computer","","6","4","10.1007/BF02341043","","1990","http://link.springer.com/article/10.1007/BF02341043","Article"
"Meeting the challenge of fifty years of logic","Journal of Automated Reasoning","","6","2","10.1007/BF00245821","Larry Wos","1990","http://link.springer.com/article/10.1007/BF00245821","Article"
"How to control unfolding when specializing interpreters","New Generation Computing","","8","1","10.1007/BF03037513","Arun LakhotiaLeon Sterling","1990","http://link.springer.com/article/10.1007/BF03037513","Article"
"Introduction","Annals of Mathematics and Artificial Intelligence","","2","1 - 4","10.1007/BF01530993","D. J. Hand","1990","http://link.springer.com/article/10.1007/BF01530993","Article"
"How to compute the Chow form of an unmixed polynomial ideal in single exponential time","Applicable Algebra in Engineering, Communication and Computing","","1","1","10.1007/BF01810845","Leandro Caniglia","1990","http://link.springer.com/article/10.1007/BF01810845","Article"
"Computational aspects of a branch and bound algorithm for quadratic zero-one programming","Computing","","45","2","10.1007/BF02247879","P. M. PardalosG. P. Rodgers","1990","http://link.springer.com/article/10.1007/BF02247879","Article"
"Automatic mesh generation for finite element analysis","Computing","","44","4","10.1007/BF02241271","T. D. BuiV. N. Hanh","1990","http://link.springer.com/article/10.1007/BF02241271","Article"
"An efficient algorithm for processing multi-relation queries in relational databases","Journal of Computer Science and Technology","","5","3","10.1007/BF02945311","Weiyi Liu","1990","http://link.springer.com/article/10.1007/BF02945311","Article"
"Numerov-type methods with minimal phase-lag for the numerical integration of the one-dimensional Schrödinger equation","Computing","","45","2","10.1007/BF02247883","T. E. SimosA. D. Raptis","1990","http://link.springer.com/article/10.1007/BF02247883","Article"
"Guest editorial — Introduction","AI & SOCIETY","","4","1","10.1007/BF01889761","Andy ClarkRudi Lutz","1990","http://link.springer.com/article/10.1007/BF01889761","Article"
"AI in medicine: A Japanese perspective","AI & SOCIETY","","4","3","10.1007/BF01889940","Dr Toshiyuki Furukawa","1990","http://link.springer.com/article/10.1007/BF01889940","Article"
"Stochastic discrimination","Annals of Mathematics and Artificial Intelligence","","1","1 - 4","10.1007/BF01531079","E. M. Kleinberg","1990","http://link.springer.com/article/10.1007/BF01531079","Article"
"On stratified disjunctive programs","Annals of Mathematics and Artificial Intelligence","","1","1 - 4","10.1007/BF01531083","Arcot RajasekarJack Minker","1990","http://link.springer.com/article/10.1007/BF01531083","Article"
"Probabilistic heuristic estimates","Annals of Mathematics and Artificial Intelligence","","2","1 - 4","10.1007/BF01531007","Othar HanssonAndrew Mayer","1990","http://link.springer.com/article/10.1007/BF01531007","Article"
"Lexical acquisition: Where is the semantics?","Machine Translation","","5","2","10.1007/BF00393759","Uri Zernik","1990","http://link.springer.com/article/10.1007/BF00393759","Article"
"Enhancing medical expert systems with knowledge obtained from statistical data","Annals of Mathematics and Artificial Intelligence","","2","1 - 4","10.1007/BF01531011","M. McLeishM. Cecile","1990","http://link.springer.com/article/10.1007/BF01531011","Article"
"Extending domain theories: Two case studies in student modeling","Machine Learning","","5","1","10.1007/BF00115893","D. SleemanHaym HirshIan ElleryIn-Yung Kim","1990","http://link.springer.com/article/10.1007/BF00115893","Article"
"A procedure to prove statements in differential geometry","Journal of Automated Reasoning","","6","2","10.1007/BF00245819","Giuseppa Carrà FerroGiovanni Gallo","1990","http://link.springer.com/article/10.1007/BF00245819","Article"
"Books received","Machine Translation","","5","2","10.1007/BF00393763","","1990","http://link.springer.com/article/10.1007/BF00393763","Article"
"Improving computer interfaces by animation from videodisc","The Visual Computer","","6","4","10.1007/BF02341045","Jan GecseiPaul Girard","1990","http://link.springer.com/article/10.1007/BF02341045","Article"
"Analysis of field data on computer failures","Journal of Computer Science and Technology","","5","2","10.1007/BF02943416","Ravishankar K. IyerMei-Chen Hsueh","1990","http://link.springer.com/article/10.1007/BF02943416","Article"
"On computer science curricula at Universities","New Generation Computing","","8","3","10.1007/BF03037515","Ken Hirose","1990","http://link.springer.com/article/10.1007/BF03037515","Article"
"PROM: A support for robust replication in a distributed object environment","Journal of Computer Science and Technology","","5","2","10.1007/BF02943420","A. CorradiL. Leonardi","1990","http://link.springer.com/article/10.1007/BF02943420","Article"
"Acquiring Recursive and Iterative Concepts with Explanation-Based Learning","Machine Learning","","5","1","10.1023/A:1022659708512","Jude W. Shavlik","1990","http://link.springer.com/article/10.1023/A%3A1022659708512","Article"
"Special cause management: A knowledge-based approach to statistical process control","Annals of Mathematics and Artificial Intelligence","","2","1 - 4","10.1007/BF01530995","Kenneth R. AndersonDavid E. ColemanC. Ray HillAndrew P. JaworskiPatrick L. LoveDouglas A. SpindlerMarwan Simaan","1990","http://link.springer.com/article/10.1007/BF01530995","Article"
"Introduction","Machine Learning","","5","4","10.1007/BF00116875","Jong De Kenneth","1990","http://link.springer.com/article/10.1007/BF00116875","Article"
"A short proof for explicit formulas for discrete logarithms in finite fields","Applicable Algebra in Engineering, Communication and Computing","","1","1","10.1007/BF01810847","Harald Niederreiter","1990","http://link.springer.com/article/10.1007/BF01810847","Article"
"CSM: A Computational Model of Cumulative Learning","Machine Learning","","5","4","10.1023/A:1022629723958","Hayong Harry Zhou","1990","http://link.springer.com/article/10.1023/A%3A1022629723958","Article"
"Learning logical definitions from relations","Machine Learning","","5","3","10.1007/BF00117105","J. R. Quinlan","1990","http://link.springer.com/article/10.1007/BF00117105","Article"
"A type-theoretic approach to program development","Journal of Computer Science and Technology","","5","3","10.1007/BF02945309","Wei Li","1990","http://link.springer.com/article/10.1007/BF02945309","Article"
"A remark concerning Mei Zhen's paper on singular nonlinear equations","Computing","","44","4","10.1007/BF02241273","Annegret Hoy","1990","http://link.springer.com/article/10.1007/BF02241273","Article"
"Interactive garment design","The Visual Computer","","6","2","10.1007/BF01901066","B. K. HindsJ. McCartney","1990","http://link.springer.com/article/10.1007/BF01901066","Article"
"A goal-type driven method of solving Horn logic with equality","Journal of Computer Science and Technology","","5","3","10.1007/BF02945313","Yunfa Hu","1990","http://link.springer.com/article/10.1007/BF02945313","Article"
"Computer image generation for flight simulators: the Gabor approach","The Visual Computer","","6","2","10.1007/BF01901070","Yehoshua Y. ZeeviMoshe PoratGeorge A. Geri","1990","http://link.springer.com/article/10.1007/BF01901070","Article"
"Boolean Feature Discovery in Empirical Learning","Machine Learning","","5","1","10.1023/A:1022611825350","Giulia PagalloDavid Haussler","1990","http://link.springer.com/article/10.1023/A%3A1022611825350","Article"
"The ‘transfer of skill’ and the ‘transfer of human relations’ to machine systems","AI & SOCIETY","","4","3","10.1007/BF01889938","Takao Nuki","1990","http://link.springer.com/article/10.1007/BF01889938","Article"
"Implementation issues in solving nonlinear equations for two-point boundary value problems","Computing","","45","1","10.1007/BF02250582","J. R. CashMargaret H. Wright","1990","http://link.springer.com/article/10.1007/BF02250582","Article"
"Thinking persons and cognitive science","AI & SOCIETY","","4","1","10.1007/BF01889763","Martin Davies","1990","http://link.springer.com/article/10.1007/BF01889763","Article"
"What can the history of AI learn from the history of science?","AI & SOCIETY","","4","3","10.1007/BF01889942","Alison E. Adam","1990","http://link.springer.com/article/10.1007/BF01889942","Article"
"International conference announcement","Annals of Mathematics and Artificial Intelligence","","1","1 - 4","10.1007/BF01531085","","1990","http://link.springer.com/article/10.1007/BF01531085","Article"
"Formulating an approach to develop a system for the temporal analysis of clinical trial data: The POSCH AI project","Annals of Mathematics and Artificial Intelligence","","2","1 - 4","10.1007/BF01531009","Erach A. IraniJames R. SlagleJohn M. LongJohn P. Matts","1990","http://link.springer.com/article/10.1007/BF01531009","Article"
"A physical approach to color image understanding","International Journal of Computer Vision","","4","1","10.1007/BF00137441","Gudrun J. KlinkerSteven A. ShaferTakeo Kanade","1990","http://link.springer.com/article/10.1007/BF00137441","Article"
"Software abstraction of elements of statistical strategy","Annals of Mathematics and Artificial Intelligence","","2","1 - 4","10.1007/BF01531013","R. W. Oldford","1990","http://link.springer.com/article/10.1007/BF01531013","Article"
"Computer interpretation of metaphors","New Generation Computing","","7","4","10.1007/BF03037450","Makoto Nagao","1990","http://link.springer.com/article/10.1007/BF03037450","Article"
"Boolean feature discovery in empirical learning","Machine Learning","","5","1","10.1007/BF00115895","Giulia BagalloDavid Haussler","1990","http://link.springer.com/article/10.1007/BF00115895","Article"
"A note on inverted mandelbrot sets","The Visual Computer","","6","4","10.1007/BF02341047","Clifford A. Pickover","1990","http://link.springer.com/article/10.1007/BF02341047","Article"
"A reliable and fault-tolerant interconnection network","Journal of Computer Science and Technology","","5","2","10.1007/BF02943418","Yaping DengTinghuai Chen","1990","http://link.springer.com/article/10.1007/BF02943418","Article"
