Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"The behavioral test-bed: Obtaining complex behavior from simple rules","The Visual Computer","","4","6","10.1007/BF01908878","David R. HaumannRichard E. Parent","1988","http://link.springer.com/article/10.1007/BF01908878","Article"
"Application-specific shell","New Generation Computing","","5","4","10.1007/BF03037413","Norihisa Suzuki","1988","http://link.springer.com/article/10.1007/BF03037413","Article"
"Bit serial addition trees and their applications","Computing","","40","1","10.1007/BF02242186","H. MeijerS. G. Akl","1988","http://link.springer.com/article/10.1007/BF02242186","Article"
"On the convergence of a rule by Monegato for the numerical evaluation of Cauchy principal value integrals","Computing","","40","1","10.1007/BF02242190","Claudia ChiodoGiuliana Criscuolo","1988","http://link.springer.com/article/10.1007/BF02242190","Article"
"On the rate of convergence for two-term recursions","Computing","","40","4","10.1007/BF02276916","A. PeyerimhoffE. StickelE. Wirsing","1988","http://link.springer.com/article/10.1007/BF02276916","Article"
"Cheep! Cheep!","AI & SOCIETY","","2","4","10.1007/BF01891368","","1988","http://link.springer.com/article/10.1007/BF01891368","Article"
"Acceptable solutions of linear complementarity problems","Computing","","40","4","10.1007/BF02276920","Dr. J. Gwinner","1988","http://link.springer.com/article/10.1007/BF02276920","Article"
"News section","AI & SOCIETY","","2","4","10.1007/BF01891372","","1988","http://link.springer.com/article/10.1007/BF01891372","Article"
"In this issue...","Artificial Intelligence Review","","2","4","10.1007/BF00138816","","1988","http://link.springer.com/article/10.1007/BF00138816","Article"
"Preface for the special issue","New Generation Computing","","6","2 - 3","10.1007/BF03037130","Dines Bjørner","1988","http://link.springer.com/article/10.1007/BF03037130","Article"
"The pronominal approach in NLP: A pronominal feature analysis of coordination in French","Computers and translation","","3","3 - 4","10.1007/BF02144630","K. van den EyndeE. BroedersC. EggermontL. Vangilbergen","1988","http://link.springer.com/article/10.1007/BF02144630","Article"
"Pathologies of AI: Responsible use of artificial intelligence in professional work","AI & SOCIETY","","2","1","10.1007/BF01891439","Ronald Stamper","1988","http://link.springer.com/article/10.1007/BF01891439","Article"
"A partitioning selection algorithm on multiprocessors","Journal of Computer Science and Technology","","3","4","10.1007/BF02943349","Guoliang Chen","1988","http://link.springer.com/article/10.1007/BF02943349","Article"
"Open forum","AI & SOCIETY","","2","1","10.1007/BF01891443","","1988","http://link.springer.com/article/10.1007/BF01891443","Article"
"Classifier systems that learn internal world models","Machine Learning","","3","2 - 3","10.1007/BF00113896","Lashon B. Booker","1988","http://link.springer.com/article/10.1007/BF00113896","Article"
"Forward-backward search method","Journal of Computer Science and Technology","","3","4","10.1007/BF02943353","Guodong ZhouGanlin Ye","1988","http://link.springer.com/article/10.1007/BF02943353","Article"
"Knowledge representations for database metadata","Artificial Intelligence Review","","2","1","10.1007/BF00139623","P. M. D. GrayG. E. StorrsJ. B. H. du Boulay","1988","http://link.springer.com/article/10.1007/BF00139623","Article"
"Publisher's announcement","Computers and translation","","3","2","10.1007/BF02055233","","1988","http://link.springer.com/article/10.1007/BF02055233","Article"
"A prolog technology theorem prover: Implementation by an extended prolog compiler","Journal of Automated Reasoning","","4","4","10.1007/BF00297245","Mark E. Stickel","1988","http://link.springer.com/article/10.1007/BF00297245","Article"
"A method for efficiently executing horn clause programs using multiple processors","New Generation Computing","","5","4","10.1007/BF03037415","W. F. ClocksinH. Alshawi","1988","http://link.springer.com/article/10.1007/BF03037415","Article"
"A new kind of combinations between the Ritz-Galerkin and finite element methods for singularity problems","Computing","","40","1","10.1007/BF02242188","Z. C. LiT. D. Bui","1988","http://link.springer.com/article/10.1007/BF02242188","Article"
"Limitations of the computer as a tool for the fine artist","The Visual Computer","","4","1","10.1007/BF01901074","Amy Slaton","1988","http://link.springer.com/article/10.1007/BF01901074","Article"
