Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"On the fill-in when sparse vectors are orthonormalized","Computing","","9","1","10.1007/BF02236376","Y. T. ChenProf. Dr. R. P. Tewarson","1972","http://link.springer.com/article/10.1007/BF02236376","Article"
"Generalized inverses and resolution in the solution of linear equations","Computing","","13","1","10.1007/BF02268393","Prof. R. P. TewarsonDr. P. Narain","1974","http://link.springer.com/article/10.1007/BF02268393","Article"
"Einschließungssätze für periodische Lösungen der Liénardschen Differentialgleichung","Computing","","5","3","10.1007/BF02248024","Dr. J. Werner","1970","http://link.springer.com/article/10.1007/BF02248024","Article"
"Buchbesprechungen","Computing","","9","1","10.1007/BF02236380","K. H. WolffE. BukovicsH. HornichH. SchauerH. J. StetterI. TrochI. PirzlW. JungingerH. HummelK. U. DoblerR. GunzenhäuserM. YoeliH. KremserW. Händler","1972","http://link.springer.com/article/10.1007/BF02236380","Article"
"Computing fourier integrals by means of near-optimal quadrature rules of the Lagrangian type","Computing","","11","1","10.1007/BF02239467","Dr. S. -Å. GustafsonDr. Ingrid Melinder","1973","http://link.springer.com/article/10.1007/BF02239467","Article"
"Bemerkungen zur einseitigen Tschebyscheff-Approximation","Computing","","9","4","10.1007/BF02241607","Prof. Dr. W. Krabs","1972","http://link.springer.com/article/10.1007/BF02241607","Article"
"Der Out-Of-Kilter-Algorithmus für Antisymmetrische Netzwerke","Computing","","11","1","10.1007/BF02239471","Dr. G. Tinhofer","1973","http://link.springer.com/article/10.1007/BF02239471","Article"
"Zum schwachen Zeilensummenkriterium bei nichtlinearen Gleichungssystemen","Computing","","7","3 - 4","10.1007/BF02242343","Karl Hans Müller","1971","http://link.springer.com/article/10.1007/BF02242343","Article"
"Versuchspläne zur stochastischen Optimierung","Computing","","9","4","10.1007/BF02241611","Dr. V. Scheiber","1972","http://link.springer.com/article/10.1007/BF02241611","Article"
"An algorithm for asymptotic approximation of Laplace integrals","Computing","","18","1","10.1007/BF02248776","Dr. H. -J. Wagner","1977","http://link.springer.com/article/10.1007/BF02248776","Article"
"Über die Herstellung von Höhenkarten und perspektivischen Reliefdarstellungen von Funktionen einer komplexen Veränderlichen mittels elektronischer Rechenanlagen","Computing","","3","2","10.1007/BF02277451","Dipl. Math. Dr. rer. nat. P. F. MüllerE. Geller","1968","http://link.springer.com/article/10.1007/BF02277451","Article"
"An algorithm for Gray codes","Computing","","18","1","10.1007/BF02248780","Dr. S. Mossige","1977","http://link.springer.com/article/10.1007/BF02248780","Article"
"Multistep-multistage-multiderivative methods for ordinary differential equations","Computing","","11","3","10.1007/BF02252917","Dr. E. HairerDr. G. Wanner","1973","http://link.springer.com/article/10.1007/BF02252917","Article"
"Algorithm 36 SNIFF: Efficient self-tuning algorithm for numerical integration","Computing","","20","4","10.1007/BF02252384","Prof. S. GarribbaDr. L. QuartapelleDr. G. Reina","1978","http://link.springer.com/article/10.1007/BF02252384","Article"
"Implementation of defect correction methods for stiff differential equations","Computing","","23","3","10.1007/BF02252129","Dr. C. W. Ueberhuber","1979","http://link.springer.com/article/10.1007/BF02252129","Article"
