"Contents of the DL"
"CONTENT TYPE","TITLE","ABBR","ISSN","e-ISSN","PUBLICATION RANGE: START","PUBLICATION RANGE: LATEST PUBLISHED","SHORTCUT URL","ARCHIVE URL"
"SIG Newsletters","ACM SIGMICRO Newsletter","SIGMICRO Newsl.","1050-916X","","Volume 1 Issue 1 (June 1969)","Volume 23 Issue 1-2 (Dec. 1992)","http://dl.acm.org/citation.cfm?id=J703","http://dl.acm.org/citation.cfm?id=J703&picked=prox"
"SIG Newsletters","ACM SIGMINI Newsletter","SIGMINI Newsl.","0163-576X","","Volume 1 Issue 1 (July 1975)","Volume 4 Issue 4 (August 1978)","http://dl.acm.org/citation.cfm?id=J951","http://dl.acm.org/citation.cfm?id=J951&picked=prox"
"SIG Newsletters","ACM SIGMIS Database: the DATABASE for Advances in Information Systems","SIGMIS Database","0095-0033","1532-0936","Volume 1 Issue 1 (Spring 1969)","Volume 50 Issue 2 (May 2019)","http://dl.acm.org/citation.cfm?id=J219","http://dl.acm.org/citation.cfm?id=J219&picked=prox"
"SIG Newsletters","ACM SIGMOBILE Mobile Computing and Communications Review","SIGMOBILE Mob. Comput. Commun. Rev.","1559-1662","1931-1222","Volume 1 Issue 1 (April 1997)","Volume 22 Issue 1 (March 2018)","http://dl.acm.org/citation.cfm?id=J548","http://dl.acm.org/citation.cfm?id=J548&picked=prox"
"SIG Newsletters","ACM SIGMOD Record","SIGMOD Rec.","0163-5808","","Volume 1 Issue 1 (August 1969)","Volume 47 Issue 3 (September 2018)","http://dl.acm.org/citation.cfm?id=J689","http://dl.acm.org/citation.cfm?id=J689&picked=prox"
"SIG Newsletters","ACM SIGMultimedia Records","SIGMultimedia Rec.","","1947-4598","Volume 1 Issue 1 (March 2009)","Volume 10 Issue 4 (December 2018)","http://dl.acm.org/citation.cfm?id=J1232","http://dl.acm.org/citation.cfm?id=J1232&picked=prox"
"SIG Newsletters","ACM SIGNUM Newsletter","SIGNUM Newsl.","0163-5778","","Volume 1 Issue 1 (June 1966)","Volume 33 Issue 2 (April 1, 1998)","http://dl.acm.org/citation.cfm?id=J690","http://dl.acm.org/citation.cfm?id=J690&picked=prox"
"SIG Newsletters","ACM SIGOA Newsletter","ACM SIGOA Newsletter","0737-819X","","Volume 1 Issue 1 (March 1980)","Volume 7 Issue 1 (Spring 1986)","http://dl.acm.org/citation.cfm?id=J915","http://dl.acm.org/citation.cfm?id=J915&picked=prox"
"SIG Newsletters","ACM SIGOIS Bulletin","SIGOIS Bull.","0894-0819","","Volume 7 Issue 2-3 (Summer-Fall 1986)","Volume 17 Issue 3 (Dec. 1996)","http://dl.acm.org/citation.cfm?id=J705","http://dl.acm.org/citation.cfm?id=J705&picked=prox"
"SIG Newsletters","ACM SIGOPS Operating Systems Review","SIGOPS Oper. Syst. Rev.","0163-5980","","Volume 3 Issue 1 (February 1969)","Volume 52 Issue 1 (July 2018) - Special Topics","http://dl.acm.org/citation.cfm?id=J597","http://dl.acm.org/citation.cfm?id=J597&picked=prox"
"SIG Newsletters","ACM SIGPC Notes","SIGPC Note.","0163-5816","","Volume 1 Issue 2 (Summer 1978)","Volume 5 Issue 1-2 (Fall/Winter 1982/1983)","http://dl.acm.org/citation.cfm?id=J950","http://dl.acm.org/citation.cfm?id=J950&picked=prox"
"SIG Newsletters","ACM SIGPLAN Fortran Forum","SIGPLAN Fortran Forum","1061-7264","1931-1311","Volume 1 Issue 1 (July 1982)","Volume 38 Issue 1 (December 2018)","http://dl.acm.org/citation.cfm?id=J286","http://dl.acm.org/citation.cfm?id=J286&picked=prox"
"SIG Newsletters","ACM SIGPLAN Lisp Pointers","SIGPLAN Lisp Pointers","1045-3563","","Volume 1 Issue 1 (April-May 1987)","Volume VIII Issue 2 (May-Aug., 1995)","http://dl.acm.org/citation.cfm?id=J509","http://dl.acm.org/citation.cfm?id=J509&picked=prox"
"SIG Newsletters","ACM SIGPLAN Notices","SIGPLAN Not.","0362-1340","1558-1160","Volume 1 Issue 8 (August 1966)","Volume 53 Issue 6 (June 2018) - LCTES '18","http://dl.acm.org/citation.cfm?id=J706","http://dl.acm.org/citation.cfm?id=J706&picked=prox"
"SIG Newsletters","ACM SIGPLAN OOPS Messenger","SIGPLAN OOPS Mess.","1055-6400","","Volume 1 Issue 1 (Aug. 1990)","Volume 7 Issue 1 (Jan. 1996) - Special issue: object-oriented real-time systems","http://dl.acm.org/citation.cfm?id=J594","http://dl.acm.org/citation.cfm?id=J594&picked=prox"
"SIG Newsletters","ACM SIGSAC Review","SIGSAC Rev.","0277-920X","","Volume 1 Issue 1 (Winter 1981-1982)","Volume 15 Issue 2 (April 1997)","http://dl.acm.org/citation.cfm?id=J691","http://dl.acm.org/citation.cfm?id=J691&picked=prox"
"SIG Newsletters","ACM SIGSAM Bulletin","SIGSAM Bull.","0163-5824","","Issue 8 (December 1967)","Volume 52 Issue 3 (September 2018)","http://dl.acm.org/citation.cfm?id=J707","http://dl.acm.org/citation.cfm?id=J707&picked=prox"
"SIG Newsletters","ACM SIGSIM Simulation Digest","SIGSIM Simul. Dig.","0163-6103","","Volume 3 Issue 1 (September 1971)","Volume 28 Issue 1 (July 1998)","http://dl.acm.org/citation.cfm?id=J711","http://dl.acm.org/citation.cfm?id=J711&picked=prox"
"SIG Newsletters","ACM SIGSMALL Newsletter","SIGSMALL Newsl.","0272-720X","","Volume 4 Issue 5 (October 1978)","Volume 10 Issue 4 (October 1984)","http://dl.acm.org/citation.cfm?id=J949","http://dl.acm.org/citation.cfm?id=J949&picked=prox"
"SIG Newsletters","ACM SIGSMALL/PC Notes","SIGSMALL/PC Notes","0893-2875","","Volume 11 Issue 3 (Aug. 1985)","Volume 19 Issue 2 (Nov. 1993)","http://dl.acm.org/citation.cfm?id=J692","http://dl.acm.org/citation.cfm?id=J692&picked=prox"
"SIG Newsletters","ACM SIGSOC Bulletin","SIGSOC Bull.","0163-5794","","Volume 1 Issue 1 (March 1969)","Volume 13 Issue 4 (April 1982)","http://dl.acm.org/citation.cfm?id=J948","http://dl.acm.org/citation.cfm?id=J948&picked=prox"
"SIG Newsletters","ACM SIGSOFT Software Engineering Notes","SIGSOFT Softw. Eng. Notes","0163-5948","","Volume 1 Issue 1 (May 1976)","Volume 44 Issue 1 (January 2019)","http://dl.acm.org/citation.cfm?id=J728","http://dl.acm.org/citation.cfm?id=J728&picked=prox"
"SIG Newsletters","ACM SIGUCCS Newsletter","SIGUCCS Newsl.","0736-6892","","Volume 1 Issue 1 (January 1965)","Volume 28 Issue 4 (Dec. 1998)","http://dl.acm.org/citation.cfm?id=J708","http://dl.acm.org/citation.cfm?id=J708&picked=prox"
"SIG Newsletters","ACM SIGUCCS plugged in","ACM SIGUCCS plugged in","","2168-8516","Volume 1 Issue 1 (Summer 2012)","Volume 2 Issue 4 (Spring/Summer 2014)","http://dl.acm.org/citation.cfm?id=J1358","http://dl.acm.org/citation.cfm?id=J1358&picked=prox"
"SIG Newsletters","ACM SIGWEB Newsletter","SIGWEB Newsl.","1931-1745","1931-1435","Volume 1 Issue 1 (March 1992)","Issue Winter (Winter 2019)","http://dl.acm.org/citation.cfm?id=J507","http://dl.acm.org/citation.cfm?id=J507&picked=prox"
"SIG Newsletters","ACM SIGecom Exchanges","SIGecom Exch.","","1551-9031","Volume 1 Issue 1 (Summer, 2000)","Volume 17 Issue 1 (November 2018)","http://dl.acm.org/citation.cfm?id=J684","http://dl.acm.org/citation.cfm?id=J684&picked=prox"
